Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 1549","fd","PUD privilege tax","H Rules R","","1/28/2016","Carlyle"
"HB 1550","fd#","Recreation services etc. tax","C 169 L 15","","5/6/2015","Carlyle"
"HB 1551","fd","Unclaimed property laws","H subst for","","3/10/2015","Ryu"
"HB 1552","f","Industrial hemp","H Approps","","2/13/2015","Shea"
"HB 1553","f#","Opportunity restoration","H subst for","","3/2/2015","Walkinshaw"
"HB 1554","","Children/guardians, family","C 47 L 15","","4/22/2015","Stambaugh"
"HB 1555","f","Applied behavior analysis","H HC/Wellness","","1/22/2015","Robinson"
"HB 1556","f","Adv. college tuition payment","H Approps","","2/20/2015","Hargrove"
"HB 1557","","Informants and accomplices","H Judiciary","","1/22/2015","Riccelli"
"HB 1558","f#","Patronizing a prostitute","H Public Safety","","1/22/2015","Muri"
"HB 1559","f","Higher ed programs/UW, WSU","H subst for","","3/9/2015","Riccelli"
"HB 1560","","Cesar Chavez day","H Rules 3C","","3/10/2016","Hudgins"
"HB 1561","","Info technology security","H Rules 3C","","3/10/2016","Hudgins"
"HB 1562","f","Allergen info in pub schools","H subst for","","3/4/2015","Sullivan"
"HB 1563","f","State wildlife account","H Approps","","2/16/2015","Blake"
"HB 1564","","Sale of liquor, prohibition","H subst for","","3/10/2015","Kilduff"
"HB 1565","","Housing options/govt progrms","H Rules 3C","","3/10/2016","Ormsby"
"HB 1566","f","Patient meds coordination","H HC/Wellness","","1/23/2015","Robinson"
"HB 1567","fd","Interstate family support","H Judiciary","","1/11/2016","Walkinshaw"
"HB 1568","f","Dropout prevention/farming","H Approps","","2/20/2015","Reykdal"
"HB 1569","f#","Drug offender sentencing","H Approps","","2/20/2015","Kagi"
"HB 1570","fe","Educator retooling/program","H subst for","","3/2/2015","Gregory"
"HB 1571","f#","Paint stewardship","H subst for","","3/5/2015","Peterson"
"HB 1572","fe","Electr vehicle infrastr bank","H Trans","","1/23/2015","Clibborn"
"HB 1573","","Tenant property, disposition","H Judiciary","","1/23/2015","Johnson"
"HB 1574","","Deceased tenant property","H Judiciary","","1/11/2016","Rodne"
"HB 1575","f","Contract retainage bonds","H subst for","","3/5/2015","Buys"
"HB 1576","f#","Annexed areas/sales & use tx","H subst for","","3/5/2015","Fitzgibbon"
"HB 1577","f","Noncompetition agreements","H Labor & Workpla","","1/11/2016","Manweller"
"EHB 1578","f","Customer satisfaction bnfits","C 121 L 16","","3/31/2016","Kirby"
"HB 1579","f","Underinsured motor vehicle","H Bus & Fin Svcs","","1/11/2016","Sawyer"
"HB 1580","f","State patrol officers","H Trans","","1/23/2015","Fey"
"HB 1581","f","30 dollar vehicle lic. fee","H subst for","","3/2/2016","Fey"
"HB 1582","f#","Traffic violation penalties","H Trans","","1/23/2015","Fey"
"HB 1583","","School construction taxes","H Finance","","1/23/2015","Young"
"HB 1584","","International law & property","H Judiciary","","1/23/2015","Young"
"HB 1585","f","Surplus trans. property","H Rules R","","2/5/2016","Young"
"HB 1586","f#","Royal Slope railroad","H subst for","","3/6/2015","Manweller"
"HB 1587","","SEPA decisions & jud. review","H Environment","","1/23/2015","Taylor"
"HB 1588","","SEPA categorical exemptions","H Environment","","1/23/2015","Taylor"
"HB 1589","","Natural resource management","H Environment","","1/23/2015","Taylor"
"EHB 1590","f","Electrician apprenticeships","H Rules 3C","","3/10/2016","Reykdal"
"HB 1591","f","High school and beyond plans","H Approps","","2/20/2015","Ortiz-Self"
"HB 1592","f","Tuition waivers/st employees","H Approps","","2/18/2015","Hunt, S."
"HB 1593","f#","Local transportation options","H Trans","","1/23/2015","McBride"
"HB 1594","","Toy gun manufacturing","H Judiciary","","1/23/2015","Wylie"
"HB 1595","","Labor hours & apprenticeship","C 48 L 15","","4/22/2015","Senn"
"HB 1596","","Surgical technologists","H HC/Wellness","","1/23/2015","Riccelli"
"HB 1597","fd#","Competency eval. timeliness","H Approps","","2/20/2015","Jinkins"
"HB 1598","fd","Criminal justice trtmnt acct","H Approps","","1/23/2015","Jinkins"
"HB 1599","afd","Criminally insane/facilities","C 253 L 15","","5/14/2015","Rodne"
"HB 1600","f","Health care 3-part aim sol.","H HC/Wellness","","1/23/2015","Rodne"
"HB 1601","","Actions by or against county","C 138 L 15","","4/29/2015","Rodne"
"HB 1602","f#","Occupational diseases/EMTs","H Rules C","","3/13/2015","Bergquist"
"HB 1603","f","Occup. disease/investigators","H Rules C","","3/13/2015","Moeller"
"HB 1604","f","Occup. disease/firefighters","H subst for","","3/2/2015","Reykdal"
"HB 1605","f#","Fire protection/benefit chrg","H subst for","","2/16/2016","Peterson"
"HB 1606","f#","Reg. fire protection service","H Finance","","2/19/2015","McBride"
"HB 1607","f","Hydroelectricity","H Tech &  Econ D","","1/23/2015","Griffey"
"HB 1608","f","Household appliances","H Labor","","1/23/2015","Buys"
"HB 1609","f","Plumbing & electrical codes","H Labor","","1/23/2015","Manweller"
"HB 1610","f#","Jury service","H subst for","","3/4/2015","McCaslin"
"HB 1611","f","Industrial insurance","H Rules R","","2/16/2015","Reykdal"
"HB 1612","f","Workers' compensation","H Rules R","","2/16/2015","Robinson"
"HB 1613","f","Injured workers w/disability","H Rules R","","2/20/2015","Pollet"
"HB 1614","","K-12 employee wages","H Approps","","1/23/2015","Reykdal"
"HB 1615","f","Postretirement employment","H Approps","","1/23/2015","Appleton"
"HB 1616","","Beginning teacher salaries","H Approps","","1/23/2015","Riccelli"
"HB 1617","","Judicial information system","H subst for","","3/9/2015","Rodne"
"HB 1618","f#","Child custody and relocation","H Rules C","","3/13/2015","Kilduff"
"HB 1619","f","Environmental handling chrgs","H subst for","","3/3/2015","Hunt, S."
"HB 1620","afd","Biotoxin testing, monitoring","C 254 L 15","","5/14/2015","Tharinger"
"HB 1621","","POW/MIA flag display","H State Governmen","","1/23/2015","Young"
"HB 1622","af","Cottage food operations","C 203 L 15","","5/8/2015","Young"
"HB 1623","f","Railroad funding","H Trans","","1/23/2015","Manweller"
"HB 1624","","Intimate images/distributing","H Judiciary","","1/23/2015","Orwall"
"HB 1625","f","Ambulances & aid, drugs for","H subst for","","3/2/2015","Schmick"
"HB 1626","","Health plan grace periods","H HC/Wellness","","1/11/2016","Schmick"
"HB 1627","","Unlawful land entry/hunting","C 154 L 15","","5/1/2015","Schmick"
"HB 1628","f","Health benefit exchange","H HC/Wellness","","1/23/2015","DeBolt"
"HB 1629","","Ag land conversion/SMA","H Local Govt","","1/23/2015","Scott"
"HB 1630","","Ag land conversion/GMA, SMA","H Local Govt","","1/23/2015","Scott"
"HB 1631","f","Tribes, fuel tax agreements","H subst for","","2/16/2016","Lytton"
"EHB 1632","f#","Domestic violence","H subst for","","2/12/2016","Goodman"
"EHB 1633","","Housing trust fund projects","C 155 L 15","","5/1/2015","Zeiger"
"HB 1634","fd","Job order contracting","H Cap Budget","","1/11/2016","DeBolt"
"HB 1635","fd#","Write-in candidates & votes","H State Governmen","","1/11/2016","Hunt, S."
"HB 1636","f","Disability employmnt reports","H subst for","","3/3/2015","MacEwen"
"HB 1637","f","Tribes/prescrip. monitoring","C 49 L 15","","4/22/2015","Stokesbary"
"HB 1638","f","Health care scribe tx credit","H Finance","","1/28/2015","Schmick"
"HB 1639","f#","Govt surveillance technology","H subst for","","3/4/2015","Taylor"
"HB 1640","f","School district waivers","H Education","","1/26/2015","Hargrove"
"HB 1641","","Shellfish/unlawf trafficking","C 141 L 15","","4/29/2015","Blake"
"HB 1642","f","Youth substance abuse","H Erly Lrn/H Svc","","1/26/2015","Pettigrew"
"HB 1643","f","Bill & budget fiscal impact","H Approps","","1/26/2015","Wylie"
"HB 1644","f","Vet. survivor tuition waiver","H subst for","","3/5/2015","Gregory"
"HB 1645","fe","E-cigarettes, vapor products","H subst for","","2/12/2016","Pollet"
"HB 1646","f","Equal pay and opportunities","H subst for","","3/11/2015","Senn"
"HB 1647","f#","Reproductive health care","H Rules 3C","","4/24/2015","Cody"
"HB 1648","f#","Infrastructure/local govt","H Finance","","2/13/2015","Walsh"
"HB 1649","f#","Collection agency costs","H Comm Dev, Hous","","1/26/2015","Sawyer"
"HB 1650","","Marijuana seizing, disposing","H Commerce & Gam","","1/26/2015","Hurst"
"HB 1651","f","Human trafficking","H subst for","","3/10/2015","Ryu"
"HB 1652","afo","Medicaid managed health care","C 256 L 15","","5/14/2015","Cody"
"HB 1653","f","Studded tire permits","H Trans","","1/26/2015","Reykdal"
"HB 1654","f#","Pollen-rich plants for bees","H subst for","","3/6/2015","Peterson"
"HB 1655","","Motorcycle safety ed adv brd","H Trans","","1/26/2015","Moscoso"
"HB 1656","f#","Property assessment appeals","H Rules R","","2/13/2015","Takko"
"HB 1657","f#","Property assessment appeals","H Rules R","","2/13/2015","Takko"
"HB 1658","","Property assessment appeals","H Local Govt","","1/26/2015","Springer"
"HB 1659","f","Group life & disability ins.","H Rules 3C","","3/10/2016","Vick"
"HB 1660","","Fishing opportunities, users","H Ag & Nat Res","","1/26/2015","Pike"
"HB 1661","","Capital budget resources","H Approps","","1/26/2015","Pike"
"HB 1662","","Trans projects, design-build","H Trans","","1/26/2015","Pike"
"HB 1663","","Trans policy brds/legislator","H Trans","","1/26/2015","Pike"
"HB 1664","f","License plates/one, optional","H Trans","","1/26/2015","Hunt, G."
"HB 1665","f","School director compensation","H Education","","1/26/2015","Carlyle"
"HB 1666","f","St-wide student assessments","H Approps","","2/1/2016","Magendanz"
"HB 1667","f","Bleeding disorders","H subst for","","3/4/2015","Cody"
"HB 1668","f#","Sexually violent predators","H subst for","","3/6/2015","Kilduff"
"HB 1669","f","Health care coverage","H Approps","","2/20/2015","Riccelli"
"HB 1670","","Agricultural innovations","H Tech &  Econ De","","1/11/2016","Walkinshaw"
"HB 1671","","Opioid antagonists","H subst for","","3/2/2015","Walkinshaw"
"HB 1672","fd","Reports of child abuse/info","H Erly Lrn/H Svc","","1/11/2016","Kagi"
"HB 1673","fd","Substance abuse programs","H Approps","","2/17/2015","Kagi"
"HB 1674","fd","Youthful offenders, reentry","C 156 L 15","","5/1/2015","Pettigrew"
"HB 1675","","Biological product prescrips","H HC/Wellness","","1/26/2015","Sullivan"
"HB 1676","f","Wild ungulates, predation","H subst for","","3/10/2015","Short"
"HB 1677","f#","Forest fires & firefighters","H Ag & Nat Res","","1/26/2015","Short"
"HB 1678","fd","Electronic commerce taxation","H Finance","","1/11/2016","Carlyle"
"HB 1679","","Biological products","H HC/Wellness","","1/26/2015","Moeller"
"HB 1680","f","Spirits sales tax reduction","H Commerce & Gam","","1/26/2015","Condotta"
"HB 1681","f#","Maritime trades industry","H Finance","","2/20/2015","Tharinger"
"HB 1682","f","Homeless students","H subst for","","3/6/2015","Fey"
"HB 1683","","Provider comp. disclosure","H HC/Wellness","","1/26/2015","Clibborn"
"HB 1684","f","Public records, charges for","H Rules R","","2/27/2015","Takko"
"HB 1685","f","Washington food policy forum","H subst for","","3/6/2015","Gregerson"
"HB 1686","","Incandescent light bulbs","H Judiciary","","1/26/2015","Scott"
"HB 1687","","Right to life","H HC/Wellness","","1/26/2015","Scott"
"HB 1688","","Traffic safety cameras","H Trans","","1/26/2015","Scott"
"HB 1689","f","In-state broadcasters, taxes","H Finance","","1/11/2016","Reykdal"
"HB 1690","f#","Convention cntrs tx deferral","H Finance","","2/20/2015","Walkinshaw"
"HB 1691","","Public records act, remedies","H State Governme","","1/26/2015","Van De Wege"
"HB 1692","","Imitation firearms","H Judiciary","","1/26/2015","Wylie"
"HB 1693","f","UW altern. contract-awarding","H Cap Budget","","1/11/2016","Pollet"
"HB 1694","","Thanksgiving day, working on","H Labor","","1/26/2015","Sells"
"HB 1695","f#","Construction aggregate, etc.","H subst for","","3/11/2015","Clibborn"
"HB 1696","fd","Higher ed tuition setting","H subst for","","3/4/2015","Haler"
"HB 1697","d","Commute trip reduction","H Trans","","1/26/2015","Springer"
"HB 1698","f","Medical cannabis","H Commerce & Gam","","1/26/2015","Appleton"
"HB 1699","","Citizen wildfire control","H Judiciary","","1/26/2015","Blake"
"HB 1700","f","Qualified health plan claims","H HC/Wellness","","1/27/2015","Riccelli"
"HB 1701","","Job applicants/arrests, etc.","H Rules X","","2/26/2016","Moscoso"
"HB 1702","f#","Fireworks, regulation of","H Local Govt","","1/11/2016","Moscoso"
"HB 1703","fd","High school assessmnt system","H Education","","1/27/2015","Santos"
"HB 1704","f","Safety & reducing recidivism","H Approps","","1/11/2016","Pettigrew"
"HB 1705","fo","Basic education for adults","H Approps","","2/20/2015","Haler"
"HB 1706","fo","College fees/military member","C 143 L 15","","4/29/2015","Stanford"
"HB 1707","","Irrigation district admin.","H Local Govt","","1/11/2016","Takko"
"HB 1708","f#","Irrigation distr. facilities","H Local Govt","","1/27/2015","Dent"
"HB 1709","","Impact fee payment","H Rules C","","3/13/2015","Springer"
"HB 1710","f","Food supply, in-state","H Approps","","2/20/2015","Tarleton"
"HB 1711","","Public works contractors","H Rules R","","2/13/2015","Senn"
"HB 1712","f","Audit protocols for medicaid","H HC/Wellness","","1/27/2015","Harris"
"HB 1713","f","Mental hlth, chem dependency","H subst for","","3/9/2015","Cody"
"HB 1714","f","Achievemnt index rating syst","H Education","","1/11/2016","Manweller"
"HB 1715","fd#","On-site sewage mgmt plans","H Environment","","1/11/2016","Peterson"
"HB 1716","f#","Immigration detainers, etc.","H Rules C","","3/13/2015","Moscoso"
"HB 1717","f","Children's advocacy centers","H Erly Lrn/H Svc","","1/27/2015","Sawyer"
"HB 1718","f#","PSERS/offender nursing care","H subst for","","3/6/2015","Ormsby"
"HB 1719","fd","Pharmacy assistants","H HC/Wellness","","1/27/2015","Robinson"
"HB 1720","f","Healthy housing","C 50 L 15","","4/22/2015","Robinson"
"HB 1721","f","Ambulance patient transport","H subst for","","3/2/2015","Robinson"
"HB 1722","","Short-barreled rifles","H Judiciary","","1/27/2015","Hayes"
"HB 1723","#","Jail booking photos, public","H Rules R","","2/20/2015","Hayes"
"HB 1724","f#","Ballots, prepaid postage","H State Governme","","1/27/2015","Walkinshaw"
"HB 1725","fd","DSHS provider payment/hrs/wk","H subst for","","6/29/2015","Cody"
"HB 1726","fd","Vulnerable adults, abuse of","H Judiciary","","1/11/2016","Moeller"
"HB 1727","","Nursing assistants","H subst for","","3/4/2015","Schmick"
"HB 1728","f#","Parents for parents program","H Erly Lrn/H Svc","","1/11/2016","Ormsby"
"EHB 1729","f#","Domestic violence victims","H Public Safety","","1/11/2016","Pettigrew"
"HB 1730","","Earnest money, handling of","H subst for","","3/10/2015","Kirby"
"HB 1731","f#","Firearms, return by law enf.","H Judiciary","","1/11/2016","Ormsby"
"HB 1732","f#","Health care employees","H Approps","","1/11/2016","Reykdal"
"HB 1733","f#","Nursing staffing, hospitals","H Approps","","2/17/2015","Cody"
"HB 1734","f#","One family one team/court","H Judiciary","","1/12/2016","Kagi"
"HB 1735","f","Extended foster care","H subst for","","3/5/2015","Orwall"
"HB 1736","f","Aerospace tax preferences","H Finance","","2/20/2015","Orcutt"
"HB 1737","f","Retired teachers/substitutes","H subst for","","3/9/2015","Orcutt"
"HB 1738","f","Marine etc. fuel tax refunds","H subst for","","3/9/2015","Orcutt"
"HB 1739","f#","Death penalty, eliminating","H Judiciary","","1/27/2015","Carlyle"
"HB 1740","f","Health coverage through PEBB","H subst for","","3/9/2015","Appleton"
"HB 1741","f","Disabled/rec lands pass exem","H Gen Govt & Info","","2/19/2015","Kretz"
"HB 1742","fd","Cottage food operations","H Ag & Nat Res","","1/11/2016","Lytton"
"HB 1743","f","High sch equivalency tests","H Hi Ed","","1/27/2015","Lytton"
"HB 1744","fd","Inmate funds","H Public Safety","","1/11/2016","Appleton"
"HB 1745","f#","Voting rights","H subst for","","3/5/2015","Moscoso"
"HB 1746","f","Tow truck operator licensing","H Public Safety","","1/28/2015","Pollet"
"HB 1747","f#","Firearms storage","H Judiciary","","1/28/2015","Kagi"
"HB 1748","f#","Motorcycle helmet use","H Trans","","1/28/2015","Blake"
"HB 1749","f","Contractor registration","H subst for","","3/6/2015","MacEwen"
"HB 1750","f","Sudden cardiac arrest","H Education","","1/28/2015","Ortiz-Self"
"HB 1751","#","Transit construction/parking","H Trans","","1/28/2015","Santos"
"EHB 1752","","Chief examiners","C 82 L 16","","3/31/2016","Hawkins"
"HB 1753","","Cannabis hlth & beauty aids","H Commerce & Gam","","1/28/2015","Ryu"
"HB 1754","","Building envelope/public wrk","H subst for","","3/5/2015","Buys"
"HB 1755","fd","Livestock movement reporting","H Ag & Nat Res","","1/11/2016","Pettigrew"
"HB 1756","f#","Cmty policing/W St. hospital","H Approps","","2/18/2015","Kilduff"
"HB 1757","f#","Local transportation options","H Trans","","1/11/2016","Fey"
"HB 1758","fd","Biofuel, etc., tax prefs","H Finance","","2/20/2015","Tharinger"
"HB 1759","f","Computer data ctrs, tax exem","H Finance","","2/20/2015","Manweller"
"HB 1760","f","Student skills","H Approps","","2/20/2015","Senn"
"HB 1761","f","Insurance producers, etc.","H subst for","","3/10/2015","Stanford"
"HB 1762","f","Health insurer and provider","H subst for","","3/9/2015","Riccelli"
"HB 1763","f","Music licensing agencies","H subst for","","3/5/2015","Van De Wege"
"HB 1764","fd","Composite manufacturing, etc","H Finance","","2/20/2015","Van De Wege"
"HB 1765","","Marijuana in pill form only","H Commerce & Gami","","1/28/2015","Klippert"
"HB 1766","","Medical marijuana","H HC/Wellness","","1/28/2015","Cody"
"HB 1767","f","State need grant renewal/GPA","H Hi Ed","","1/28/2015","Hargrove"
"HB 1768","","Brewery promotional items","H Commerce & Gam","","1/28/2015","Kirby"
